"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"52","Nariño","52378","La Cruz","Medición de desempeño municipal",50.95,"2018","DNP - SPT","Puntos"
"52","Nariño","52381","La Florida","Medición de desempeño municipal",42.2,"2018","DNP - SPT","Puntos"
"52","Nariño","52385","La Llanada","Medición de desempeño municipal",44.16,"2018","DNP - SPT","Puntos"
"52","Nariño","52390","La Tola","Medición de desempeño municipal",33.6,"2018","DNP - SPT","Puntos"
"52","Nariño","52399","La Unión","Medición de desempeño municipal",45.27,"2018","DNP - SPT","Puntos"
"52","Nariño","52405","Leiva","Medición de desempeño municipal",41,"2018","DNP - SPT","Puntos"
"52","Nariño","52411","Linares","Medición de desempeño municipal",48.99,"2018","DNP - SPT","Puntos"
"52","Nariño","52418","Los Andes","Medición de desempeño municipal",45.15,"2018","DNP - SPT","Puntos"
"52","Nariño","52427","Magüi","Medición de desempeño municipal",38.67,"2018","DNP - SPT","Puntos"
"52","Nariño","52435","Mallama","Medición de desempeño municipal",46.04,"2018","DNP - SPT","Puntos"
"52","Nariño","52473","Mosquera","Medición de desempeño municipal",39.55,"2018","DNP - SPT","Puntos"
"52","Nariño","52480","Nariño","Medición de desempeño municipal",45.49,"2018","DNP - SPT","Puntos"
"52","Nariño","52490","Olaya Herrera","Medición de desempeño municipal",40.39,"2018","DNP - SPT","Puntos"
"52","Nariño","52506","Ospina","Medición de desempeño municipal",44.7,"2018","DNP - SPT","Puntos"
"52","Nariño","52520","Francisco Pizarro","Medición de desempeño municipal",37.5,"2018","DNP - SPT","Puntos"
"52","Nariño","52540","Policarpa","Medición de desempeño municipal",39.3,"2018","DNP - SPT","Puntos"
"52","Nariño","52560","Potosí","Medición de desempeño municipal",47.55,"2018","DNP - SPT","Puntos"
"52","Nariño","52565","Providencia","Medición de desempeño municipal",42.09,"2018","DNP - SPT","Puntos"
"52","Nariño","52573","Puerres","Medición de desempeño municipal",40.24,"2018","DNP - SPT","Puntos"
"52","Nariño","52585","Pupiales","Medición de desempeño municipal",41.23,"2018","DNP - SPT","Puntos"
"52","Nariño","52612","Ricaurte","Medición de desempeño municipal",35.08,"2018","DNP - SPT","Puntos"
"52","Nariño","52621","Roberto Payán","Medición de desempeño municipal",33.27,"2018","DNP - SPT","Puntos"
"52","Nariño","52678","Samaniego","Medición de desempeño municipal",46.87,"2018","DNP - SPT","Puntos"
"52","Nariño","52683","Sandoná","Medición de desempeño municipal",45.53,"2018","DNP - SPT","Puntos"
"52","Nariño","52685","San Bernardo","Medición de desempeño municipal",51.14,"2018","DNP - SPT","Puntos"
"52","Nariño","52687","San Lorenzo","Medición de desempeño municipal",42.76,"2018","DNP - SPT","Puntos"
"52","Nariño","52693","San Pablo","Medición de desempeño municipal",49.72,"2018","DNP - SPT","Puntos"
"52","Nariño","52694","San Pedro de Cartago","Medición de desempeño municipal",39.85,"2018","DNP - SPT","Puntos"
"52","Nariño","52696","Santa Bárbara","Medición de desempeño municipal",37.29,"2018","DNP - SPT","Puntos"
"52","Nariño","52699","Santacruz","Medición de desempeño municipal",43.4,"2018","DNP - SPT","Puntos"
"52","Nariño","52720","Sapuyes","Medición de desempeño municipal",41.41,"2018","DNP - SPT","Puntos"
"52","Nariño","52786","Taminango","Medición de desempeño municipal",42.91,"2018","DNP - SPT","Puntos"
"52","Nariño","52788","Tangua","Medición de desempeño municipal",50.25,"2018","DNP - SPT","Puntos"
"52","Nariño","52835","San Andrés de Tumaco","Medición de desempeño municipal",32.12,"2018","DNP - SPT","Puntos"
"52","Nariño","52885","Yacuanquer","Medición de desempeño municipal",33.36,"2018","DNP - SPT","Puntos"
"52","Nariño","52838","Túquerres","Medición de desempeño municipal",39.23,"2018","DNP - SPT","Puntos"
"66","Risaralda","66001","Pereira","Medición de desempeño municipal",82.59,"2018","DNP - SPT","Puntos"
"66","Risaralda","66045","Apía","Medición de desempeño municipal",48.33,"2018","DNP - SPT","Puntos"
"66","Risaralda","66075","Balboa","Medición de desempeño municipal",65.12,"2018","DNP - SPT","Puntos"
"66","Risaralda","66088","Belén de Umbría","Medición de desempeño municipal",54.52,"2018","DNP - SPT","Puntos"
