"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"BLZ",2012,5281.25,7264.64,68.6168,64.4529,2.56661,2.32413,2.42176,190000000,0.508
"BLZ",2013,7081.25,7194.62,76.9446,65.3601,1.46213,2.25427,1.29408,92000000,0.648
"BLZ",2014,5825,7322.88,63.9638,62.1479,0.792583,2.19128,4.0377,140000000,0.616
"BLZ",2015,5775,7358.62,70.4344,58.8872,-0.380186,2.11686,2.63786,59000000,1.385
"BLZ",2016,1900,7206.95,71.2143,52.1849,0.076421,2.04936,-0.033234,33000000,1.25
"BLZ",2017,6406.25,7193.63,87.4463,54.3276,-1.12726,1.9824,1.81368,32000000,1.144
"BLZ",2018,1943.75,7261.69,87.0867,56.3561,-0.514951,1.92298,2.90607,120000000,0.612
"BOL",2010,910806,6612.8,15.0582,41.1875,2.97081,1.64358,4.12672,620000000,0.51
"BOL",2012,55737.5,7081.39,13.222,47.1662,3.91673,1.60004,5.12228,1100000000,0.674
"BOL",2018,85856.3,8655.53,15.437,25.9888,2.57911,1.42189,4.22362,300000000,0.285
"BOL",2011,504325,6844.98,12.5266,44.0917,14.0892,1.62236,5.20409,860000000,0.942
"BOL",2005,110244,5749.53,20.2268,35.5481,4.70042,1.78415,4.42143,-240000000,0.553
"BOL",2004,91743.8,5605.2,26.949,31.1384,4.8535,1.81619,4.17329,65000000,0.61
"BOL",2008,157219,6351.23,13.9162,44.9066,25.7718,1.69112,6.1485,510000000,0.155
"BOL",2009,57912.5,6455.97,19.1893,35.7226,1.61476,1.66617,3.357,420000000,0.493
"BOL",2017,197106,8423.7,14.6472,24.9041,3.37058,1.44914,4.19521,710000000,0.716
"BOL",2013,48700,7444.49,16.2486,44.0925,8.80973,1.57458,6.79601,1700000000,0.419
"BOL",2007,108050,6085.39,14.9184,41.7957,14.4831,1.71989,4.56438,370000000,0.313
"BOL",2016,393431,8202.54,20.3464,24.488,5.52726,1.4802,4.26392,340000000,0.514
"BOL",2014,132694,7730.64,14.2247,43.2931,8.25004,1.54498,5.46057,660000000,0.811
"BOL",2015,50087.5,7984.41,16.2779,30.8683,4.6574,1.51294,4.85719,550000000,1.286
"BOL",2006,100063,5920.71,14.2199,41.7717,5.85287,1.75171,4.79701,280000000,0.704
"BRA",2005,2200000,12565.9,25.6749,15.2438,3.09253,1.14588,3.20213,15000000000,1.091
