"","iso3","continent","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"183","BWA","africa",2006,31.25,12318.4,2.6779,52.2545,9.30483,2.02671,8.36387,4.9e+08,-0.418
"184","BWA","africa",2007,175,13056.7,2.82428,54.5161,11.8242,2.13121,8.27676,4.9e+08,0.414
"185","BWA","africa",2008,81.25,13581.2,2.8433,45.674,16.2906,2.11968,6.24544,5.2e+08,0.358
"186","BWA","africa",2009,131.25,12298.8,5.03315,34.8009,18.2987,1.95704,-7.65231,2.1e+08,-0.058
"187","BWA","africa",2010,125,13126.2,5.16522,43.6355,11.3627,1.70592,8.56363,2.2e+08,1.173
"188","BWA","africa",2011,281.25,13724.7,2.37672,49.9505,6.86103,1.41414,6.04836,2.9e+08,0.377
"189","BWA","africa",2012,893.75,14166.5,2.0904,49.2507,7.95801,1.1909,4.45614,1.5e+08,0.809
"190","BWA","africa",2013,87.5,15597.6,2.34493,61.5226,5.42325,1.12139,11.3434,6.7e+07,1.071
"191","BWA","africa",2014,25,16042.1,1.88058,60.5603,3.03091,1.25595,4.14926,5.2e+08,0.207
"192","BWA","africa",2015,56.25,14895.9,2.2849,52.9032,1.33407,1.52507,-5.71768,3.8e+08,1.949
"193","BWA","africa",2016,137.5,15654.7,1.70376,54.6114,2.69146,1.83197,7.0369,1.4e+08,1.837
"194","BWA","africa",2017,12.5,15948,1.75525,42.9647,3.45278,2.06885,4.00345,2.6e+08,0.367
"195","BWA","africa",2018,818.75,16222.4,1.89136,44.5358,-0.512268,2.19742,3.9804,2.9e+08,1.059
"196","CAF","africa",2013,1943.75,824.943,0.125906,14.973,-36.8370279878452,0.259648,-36.392,1900000,0.825
"197","CAF","africa",2014,1743.75,822.611,0.102849,16.6758,95.1868050772041,0.364134,0.081071,3500000,0.682
"198","CAF","africa",2010,11950,1201.35,1.52409,11.6258,143.784621320619,1.12656,4.63082,6.2e+07,1.137
"199","CAF","africa",2011,14768.8,1242.71,1.20808,13.1278,62.8546925453092,0.723968,4.19462,3.7e+07,0.774
"200","CAF","africa",2012,57393.8,1300.29,0.431091,11.5501,63.9761211654994,0.401399,5.05376,7e+07,0.494
"201","CAF","africa",2007,13600,1082.69,2.69954,14.1153,142.743786780178,1.92234,4.60753,5.7e+07,0.559
"202","CAF","africa",2009,3775,1161.19,3.54237,9.84165,166.72081911474,1.49242,8.58726,4.2e+07,1.153
"203","CAF","africa",2008,5675,1085.44,1.44091,11.0037,154.219172770726,1.77931,2.05413,1.2e+08,0.66
"204","CAF","africa",2018,1793.75,933.11,0.208241,18.8836,55.8748682819804,1.51912,3.78944,1.8e+07,1.179
"205","CAF","africa",2006,3512.5,1055.09,0.249827,14.316,168.140056730382,1.95422,4.77109,3.5e+07,0.998
"206","CAF","africa",2016,5950,884.495,0.350551,14.8219,54.5167014125637,0.985784,4.75032,7300000,1.217
"207","CAF","africa",2017,6818.75,912.803,1.38351,17.2598,35.344803236829,1.27748,4.52728,6900000,1.171
"208","CAF","africa",2005,20756.3,1026.91,0.835466,13.3628,171.307188911726,1.96291,0.908211,1e+07,1.071
"209","CAF","africa",2004,50218.8,1037.84,1.88971,13.9979,110.283056488492,2.0074,5.99488,1.5e+07,1.057
"210","CAF","africa",2015,6125,852.749,0.521338,17.0677,70.0941257297681,0.647516,4.33712,3e+06,0.984
"211","CHL","latin",2010,108025,21262.5,16.5316,37.7451,2.19836,1.03891,5.84418,1.6e+10,-0.041
"212","CHL","latin",2015,164056,24440.4,24.2534,29.3763,7.17068,1.17772,2.30377,2.1e+10,0.72
"213","CHL","latin",2006,105294,19603.7,15.0589,43.7951,2.6367,1.05599,6.31718,7.6e+09,0.529
"214","CHL","latin",2013,70387.5,24006.8,20.4374,32.1995,4.44313,0.978806,4.045,2.2e+10,0.423
"215","CHL","latin",2011,129525,22337.9,17.3919,37.762,6.68515,0.997515,6.11092,2.6e+10,0.166
